OrderNumber,SalesChannel,WarehouseCode,ProcuredDate,OrderDate,ShipDate,DeliveryDate,CurrencyCode,SalesTeamID,CustomerNames,CityName,Region ,State,StateCode,ProductName,OrderQuantity,DiscountApplied,UnitPrice,UnitCost
SO - 000113,In-Store,WARE-PUJ1005,4/10/2018,6/1/2018,6/22/2018,7/2/2018,USD,Chris Armstrong,O.E. Ltd,Denton,Northeast,Texas,TX,Floor Lamps,5,"0,05","1051,9","641,659"
SO - 000114,In-Store,WARE-PUJ1005,4/10/2018,6/1/2018,6/7/2018,6/15/2018,USD,George Lewis,Pure Group,Portland,West,Oregon,OR,Vases,6,"0,15","254,6","216,41"
SO - 000115,In-Store,WARE-NMK1003,12/31/2017,6/1/2018,6/15/2018,6/20/2018,USD,Joshua Ryan,OHTA'S Corp,West Palm Beach,Midwest,Florida,FL,Computers,6,"0,15","3932,9","3146,32"
SO - 000116,In-Store,WARE-MKL1006,12/31/2017,6/1/2018,6/24/2018,7/2/2018,USD,Stephen Payne,Apollo Ltd,Norfolk,South,Virginia,VA,TV and video,3,"0,05","1112,2","700,686"
SO - 000117,In-Store,WARE-PUJ1005,4/10/2018,6/1/2018,6/19/2018,6/27/2018,USD,Joshua Ryan,21st Ltd,Frisco,Midwest,Texas,TX,Computers,3,"0,075","1239,5","904,835"
SO - 000118,In-Store,WARE-XYS1001,4/10/2018,6/1/2018,6/6/2018,6/14/2018,USD,George Lewis,S.S.S. Group,Carlsbad,West,California,CA,Table Lamps,4,"0,1","984,9","393,96"
SO - 000119,In-Store,WARE-MKL1006,4/10/2018,6/1/2018,6/7/2018,6/15/2018,USD,Stephen Payne,Procter Corp,Alexandria,South,Virginia,VA,Bar Tools,4,"0,1","5581,1","4130,014"
SO - 000120,Online,WARE-NMK1003,12/31/2017,6/1/2018,6/11/2018,6/17/2018,USD,Paul Holmes,E. Ltd,Spring Hill,Midwest,Florida,FL,Wall Frames,4,"0,05","3095,4","1795,332"
SO - 000121,Wholesale,WARE-NMK1003,4/10/2018,6/1/2018,6/18/2018,6/20/2018,USD,Patrick Graham,U.S. Ltd,Wayne,South,Indiana,IN,Outdoor Decor,4,"0,4",2278,"1754,06"
SO - 000122,In-Store,WARE-PUJ1005,4/10/2018,6/2/2018,6/10/2018,6/16/2018,USD,Keith Griffin,Linde ,Dayton,Northeast,Ohio,OH,Cookware,7,"0,075","991,6","654,456"
SO - 000123,In-Store,WARE-XYS1001,4/10/2018,6/2/2018,6/26/2018,6/28/2018,USD,Shawn Cook,Select ,Burbank,Midwest,California,CA,Table Linens,2,"0,2","3979,8","3064,446"
SO - 000124,Distributor,WARE-UHY1004,12/31/2017,6/2/2018,6/22/2018,7/2/2018,USD,Roy Rice,Qualitest ,Warren,Midwest,Michigan,MI,Outdoor Furniture,3,"0,4","1969,8","866,712"
SO - 000125,In-Store,WARE-NMK1003,4/10/2018,6/2/2018,6/16/2018,6/24/2018,USD,Chris Armstrong,Rochester Ltd,Rockford,Northeast,Illinois,IL,Bakeware,1,"0,15",268,"131,32"
SO - 000126,Online,WARE-NMK1003,12/31/2017,6/2/2018,6/21/2018,7/1/2018,USD,Shawn Wallace,U.S. Ltd,Stamford (Town),South,Connecticut,CT,Wall Frames,7,"0,1","174,2","95,81"
SO - 000127,In-Store,WARE-UHY1004,12/31/2017,6/2/2018,6/26/2018,7/6/2018,USD,Shawn Cook,OHTA'S Corp,Cary,Midwest,North Carolina,NC,Sculptures,3,"0,075","2988,2","2510,088"
SO - 000128,In-Store,WARE-UHY1004,12/31/2017,6/2/2018,6/20/2018,6/29/2018,USD,Joshua Ryan,OHTA'S Corp,Fargo,Midwest,North Dakota,ND,Clocks,4,"0,05","3999,9","2679,933"
SO - 000129,Distributor,WARE-NMK1003,4/10/2018,6/2/2018,6/21/2018,6/22/2018,USD,Anthony Torres,Capweld ,Greeley,West,Colorado,CO,Platters,3,"0,05","5976,4","2450,324"
SO - 000130,In-Store,WARE-NMK1003,4/10/2018,6/2/2018,6/27/2018,6/29/2018,USD,George Lewis,Procter Corp,Bridgeport,West,Connecticut,CT,Vases,5,"0,1","2901,1","2378,902"
SO - 000131,In-Store,WARE-PUJ1005,4/10/2018,6/3/2018,6/26/2018,7/5/2018,USD,George Lewis,"Apotheca, Ltd",Murfreesboro,West,Tennessee,TN,Accessories,7,"0,075","6076,9","2734,605"
SO - 000132,Online,WARE-PUJ1005,12/31/2017,6/3/2018,6/5/2018,6/10/2018,USD,Todd Roberts,Amylin Group,Knoxville,West,Tennessee,TN,Mirrors,7,"0,2","5735,2","4186,696"
SO - 000133,Online,WARE-UHY1004,12/31/2017,6/3/2018,6/30/2018,7/10/2018,USD,Nicholas Cunningham,U.S. Ltd,Sterling Heights,South,Michigan,MI,Dinnerware,3,"0,1","3919,5","2077,335"
SO - 000134,Online,WARE-MKL1006,12/31/2017,6/3/2018,6/30/2018,7/5/2018,USD,Frank Brown,Llorens Ltd,Spokane,Northeast,Washington,WA,Sculptures,1,"0,05","6083,6","3832,668"
SO - 000135,Wholesale,WARE-MKL1006,4/10/2018,6/3/2018,6/14/2018,6/15/2018,USD,Donald Reynolds,WakeFern ,Pearland,South,Texas,TX,Rugs,5,"0,075","2566,1","1642,304"
SO - 000136,Distributor,WARE-NBV1002,12/31/2017,6/3/2018,6/7/2018,6/13/2018,USD,Joe Price,Dharma Ltd,Torrance,Northeast,California,CA,Wardrobes,2,"0,075",2278,"1093,44"
SO - 000137,In-Store,WARE-UHY1004,12/31/2017,6/3/2018,6/14/2018,6/21/2018,USD,Shawn Cook,U.S. Ltd,Spring Valley,Midwest,Nevada,NV,Cookware,1,"0,075","261,3","120,198"
SO - 000138,Online,WARE-MKL1006,12/31/2017,6/3/2018,6/28/2018,7/8/2018,USD,Carl Nguyen,Capweld ,Renton,Midwest,Washington,WA,Furniture Cushions,8,"0,05","998,3","698,81"
SO - 000139,In-Store,WARE-NMK1003,12/31/2017,6/3/2018,6/13/2018,6/21/2018,USD,Chris Armstrong,OUR Ltd,Arvada,Northeast,Colorado,CO,Rugs,6,"0,2","3497,4","1958,544"
SO - 000140,In-Store,WARE-NMK1003,12/31/2017,6/3/2018,6/18/2018,6/28/2018,USD,Joshua Ryan,Mylan Corp,Overland Park,Midwest,Kansas,KS,TV and video,4,"0,05","1132,3","486,889"
SO - 000141,In-Store,WARE-XYS1001,12/31/2017,6/3/2018,6/15/2018,6/17/2018,USD,Shawn Cook,Mylan Corp,Glendale,Midwest,California,CA,Photo Frames,7,"0,05","2405,3","1587,498"
SO - 000142,Distributor,WARE-MKL1006,12/31/2017,6/3/2018,6/24/2018,7/3/2018,USD,Roy Rice,Burt's Corp,Milwaukee,Midwest,Wisconsin,WI,Table Lamps,8,"0,05","5701,7","3249,969"
SO - 000143,Distributor,WARE-UHY1004,12/31/2017,6/4/2018,6/9/2018,6/16/2018,USD,Patrick Graham,Eminence Corp,Las Cruces,South,New Mexico,NM,Bedroom Furniture,1,"0,2","2452,2","1446,798"
SO - 000144,In-Store,WARE-XYS1001,12/31/2017,6/4/2018,6/30/2018,7/4/2018,USD,Joshua Little,Ohio ,Chandler,South,Arizona,AZ,Ornaments,3,"0,05","3095,4","2012,01"
SO - 000145,Online,WARE-UHY1004,12/31/2017,6/4/2018,6/12/2018,6/14/2018,USD,Roger Alexander,Linde ,Columbia,Midwest,Maryland,MD,Cocktail Glasses,4,"0,4","3865,9","2164,904"
SO - 000146,Distributor,WARE-XYS1001,12/31/2017,6/4/2018,6/10/2018,6/15/2018,USD,Douglas Tucker,"Elorac, Corp",Fresno,Midwest,California,CA,Ornaments,8,"0,1","2304,8","1382,88"
SO - 000147,Online,WARE-XYS1001,12/31/2017,6/4/2018,6/21/2018,6/24/2018,USD,Frank Brown,Ole Group,Fullerton,Northeast,California,CA,Table Linens,3,"0,05","3195,9","1470,114"
SO - 000148,Online,WARE-PUJ1005,12/31/2017,6/4/2018,6/19/2018,6/26/2018,USD,Shawn Wallace,Bare ,Philadelphia,South,Pennsylvania,PA,Outdoor Decor,7,"0,05","6452,1","5161,68"
SO - 000149,Distributor,WARE-NMK1003,12/31/2017,6/5/2018,6/14/2018,6/17/2018,USD,Roy Rice,ETUDE Ltd,Hartford,Midwest,Connecticut,CT,Stemware,3,"0,3","2003,3","921,518"
SO - 000150,Distributor,WARE-XYS1001,4/10/2018,6/5/2018,6/28/2018,7/7/2018,USD,Douglas Tucker,Pacific Ltd,Antioch,Midwest,California,CA,Cocktail Glasses,8,"0,05","3638,1","1455,24"
SO - 000151,In-Store,WARE-NMK1003,4/10/2018,6/5/2018,6/14/2018,6/17/2018,USD,Chris Armstrong,Qualitest ,Stamford,Northeast,Connecticut,CT,Pillows,3,"0,075",2278,"1822,4"
SO - 000152,Online,WARE-NMK1003,4/10/2018,6/5/2018,6/25/2018,6/29/2018,USD,Anthony Berry,Prasco Group,Augusta,West,Georgia,GA,Wine Storage,6,"0,3","924,6","582,498"
SO - 000153,Online,WARE-NMK1003,4/10/2018,6/5/2018,6/21/2018,7/1/2018,USD,Nicholas Cunningham,Medsep Group,Waterbury,South,Connecticut,CT,Stemware,5,"0,05","3926,2","3062,436"
SO - 000154,Distributor,WARE-MKL1006,12/31/2017,6/5/2018,6/12/2018,6/18/2018,USD,Douglas Tucker,Burt's Corp,Alexandria,Midwest,Virginia,VA,TV and video,4,"0,075","3825,7","2257,163"
SO - 000155,Wholesale,WARE-MKL1006,12/31/2017,6/5/2018,7/3/2018,7/8/2018,USD,Shawn Torres,Ole Group,Renton,Northeast,Washington,WA,Serveware,3,"0,05","2257,9","1377,319"
SO - 000156,Distributor,WARE-NMK1003,12/31/2017,6/6/2018,7/2/2018,7/8/2018,USD,Roy Rice,OHTA'S Corp,Davenport,Midwest,Iowa,IA,Outdoor Decor,8,"0,075","1112,2","756,296"
SO - 000157,Online,WARE-NMK1003,12/31/2017,6/6/2018,6/22/2018,6/23/2018,USD,Nicholas Cunningham,Dharma Ltd,Bridgeport,South,Connecticut,CT,Home Fragrances,8,"0,05","3557,7","1814,427"
SO - 000158,Online,WARE-NBV1002,12/31/2017,6/6/2018,6/9/2018,6/12/2018,USD,Todd Roberts,Medsep Group,Pasadena,West,California,CA,Home Fragrances,3,"0,4","2371,8","1233,336"
SO - 000159,Online,WARE-NBV1002,12/31/2017,6/6/2018,7/1/2018,7/4/2018,USD,Paul Holmes,Niconovum Corp,Pomona,Midwest,California,CA,Cookware,1,"0,4","857,6","686,08"
SO - 000160,In-Store,WARE-UHY1004,12/31/2017,6/7/2018,6/14/2018,6/16/2018,USD,Joshua Little,Trigen ,Fargo,South,North Dakota,ND,Bar Tools,5,"0,3","3892,7","2880,598"
SO - 000161,In-Store,WARE-NMK1003,12/31/2017,6/7/2018,6/13/2018,6/15/2018,USD,Jerry Green,Mylan Corp,Aurora,West,Illinois,IL,Floral,6,"0,075","3477,3","1390,92"
SO - 000162,Online,WARE-NMK1003,12/31/2017,6/7/2018,6/11/2018,6/21/2018,USD,Todd Roberts,Pacific Ltd,Aurora (Township),West,Illinois,IL,Pillows,5,"0,1","3738,6","2803,95"
SO - 000163,Online,WARE-PUJ1005,4/10/2018,6/7/2018,6/10/2018,6/13/2018,USD,Anthony Torres,"PEDIFIX, Corp",Buffalo,West,New York,NY,Cocktail Glasses,5,"0,3",1072,"589,6"
SO - 000164,In-Store,WARE-NMK1003,4/10/2018,6/7/2018,7/1/2018,7/2/2018,USD,Stephen Payne,Select ,Gainesville,South,Florida,FL,Sculptures,7,"0,05","2257,9","1761,162"
SO - 000165,Online,WARE-UHY1004,4/10/2018,6/7/2018,6/11/2018,6/13/2018,USD,Shawn Wallace,E. Ltd,Greensboro,South,North Carolina,NC,Sculptures,3,"0,1","1058,6","751,606"
SO - 000166,Online,WARE-NBV1002,4/10/2018,6/7/2018,6/15/2018,6/25/2018,USD,Todd Roberts,Ascend Ltd,Santa Maria,West,California,CA,Floor Lamps,4,"0,1","2492,4","1296,048"
SO - 000167,In-Store,WARE-NBV1002,4/10/2018,6/7/2018,6/13/2018,6/21/2018,USD,Chris Armstrong,S.S.S. Group,San Buenaventura (Ventura),Northeast,California,CA,Ornaments,5,"0,05","3852,5","2465,6"
SO - 000168,Distributor,WARE-UHY1004,12/31/2017,6/8/2018,6/19/2018,6/25/2018,USD,Douglas Tucker,Llorens Ltd,Grand Rapids,Midwest,Michigan,MI,Platters,8,"0,05","241,2","132,66"
SO - 000169,In-Store,WARE-XYS1001,12/31/2017,6/8/2018,6/11/2018,6/17/2018,USD,Joshua Ryan,Avon Corp,El Cajon,Midwest,California,CA,Table Linens,2,"0,15","1051,9","494,393"
SO - 000170,Distributor,WARE-NMK1003,12/31/2017,6/8/2018,6/14/2018,6/19/2018,USD,Patrick Graham,Apollo Ltd,Palatine (Township),South,Illinois,IL,Blankets,5,"0,3","227,8","107,066"
SO - 000171,Distributor,WARE-MKL1006,4/10/2018,6/8/2018,6/14/2018,6/15/2018,USD,Roy Rice,ETUDE Ltd,Odessa,Midwest,Texas,TX,Mirrors,5,"0,05","1078,7","506,989"
SO - 000172,Wholesale,WARE-NMK1003,4/10/2018,6/8/2018,6/13/2018,6/20/2018,USD,Carlos Miller,"PEDIFIX, Corp",Fort Collins,West,Colorado,CO,Blankets,8,"0,15",1005,"743,7"
SO - 000173,Distributor,WARE-PUJ1005,4/10/2018,6/8/2018,7/3/2018,7/9/2018,USD,Roy Rice,Pure Group,Gresham,Midwest,Oregon,OR,Home Fragrances,5,"0,05","2485,7","1317,421"
SO - 000174,In-Store,WARE-NMK1003,4/10/2018,6/8/2018,6/30/2018,7/6/2018,USD,Jerry Green,New Ltd,Atlanta,West,Georgia,GA,Wine Storage,3,"0,05","2659,9","2154,519"
SO - 000175,In-Store,WARE-NMK1003,4/10/2018,6/9/2018,6/28/2018,7/3/2018,USD,Adam Hernandez,Avon Corp,New Haven,Northeast,Connecticut,CT,Cookware,1,"0,075","2224,4","1579,324"
SO - 000176,In-Store,WARE-MKL1006,4/10/2018,6/9/2018,6/12/2018,6/16/2018,USD,Joshua Little,Wuxi Group,Round Rock,South,Texas,TX,Table Linens,7,"0,2","2472,3","1260,873"
SO - 000177,In-Store,WARE-UHY1004,4/10/2018,6/9/2018,6/23/2018,6/24/2018,USD,Stephen Payne,Trigen ,Fayetteville,South,North Carolina,NC,Outdoor Furniture,5,"0,05","1011,7","799,243"
SO - 000178,Wholesale,WARE-UHY1004,4/10/2018,6/9/2018,7/5/2018,7/13/2018,USD,Donald Reynolds,Dharma Ltd,Durham,South,North Carolina,NC,Phones,6,"0,2","234,5","128,975"
SO - 000179,Online,WARE-NMK1003,4/10/2018,6/9/2018,6/14/2018,6/17/2018,USD,Todd Roberts,Llorens Ltd,Elgin,West,Illinois,IL,Ornaments,4,"0,075","261,3","143,715"
SO - 000180,Online,WARE-XYS1001,12/31/2017,6/9/2018,6/27/2018,7/1/2018,USD,Shawn Wallace,Procter Corp,Fremont,South,California,CA,Pendants,7,"0,1","4006,6","2844,686"
SO - 000181,In-Store,WARE-UHY1004,4/10/2018,6/9/2018,7/5/2018,7/13/2018,USD,Jerry Green,21st Ltd,Boston,West,Massachusetts,MA,Phones,7,"0,05","1333,3","866,645"
SO - 000182,In-Store,WARE-UHY1004,4/10/2018,6/10/2018,7/7/2018,7/9/2018,USD,Jonathan Hawkins,OUR Ltd,Reno,West,Nevada,NV,Outdoor Furniture,5,"0,05","167,5","90,45"
SO - 000183,Online,WARE-MKL1006,4/10/2018,6/10/2018,6/28/2018,7/2/2018,USD,Paul Holmes,E. Ltd,Plano,Midwest,Texas,TX,Wreaths,7,"0,075","3195,9","1821,663"
SO - 000184,Online,WARE-PUJ1005,4/10/2018,6/10/2018,6/30/2018,7/5/2018,USD,Anthony Torres,Eminence Corp,Abilene,West,Texas,TX,Outdoor Furniture,1,"0,05","1051,9","809,963"
SO - 000185,Online,WARE-XYS1001,12/31/2017,6/10/2018,6/30/2018,7/3/2018,USD,Roger Alexander,Medsep Group,Mesa,Midwest,Arizona,AZ,Phones,4,"0,1","5447,1","3540,615"
SO - 000186,Online,WARE-NMK1003,4/10/2018,6/10/2018,6/16/2018,6/24/2018,USD,Todd Roberts,O.E. Ltd,Louisville,West,Kentucky,KY,Basketball,2,"0,075","3182,5","1973,15"
SO - 000187,In-Store,WARE-MKL1006,12/31/2017,6/11/2018,6/29/2018,7/1/2018,USD,Joshua Bennett,Niconovum Corp,Richardson,Northeast,Texas,TX,Wall Coverings,3,"0,1","891,1","632,681"
SO - 000188,Online,WARE-NMK1003,12/31/2017,6/11/2018,6/16/2018,6/19/2018,USD,Roger Alexander,Wuxi Group,Elgin,Midwest,Illinois,IL,Candleholders,2,"0,2","3892,7","2724,89"
SO - 000189,Online,WARE-UHY1004,12/31/2017,6/11/2018,6/13/2018,6/16/2018,USD,Todd Roberts,Procter Corp,Las Cruces,West,New Mexico,NM,Cocktail Glasses,2,"0,4",3953,"3360,05"
SO - 000190,Online,WARE-NMK1003,12/31/2017,6/11/2018,6/28/2018,7/7/2018,USD,Anthony Torres,Ascend Ltd,Indianapolis,West,Indiana,IN,Bathroom Furniture,2,"0,3","924,6","545,514"
SO - 000191,Online,WARE-NMK1003,4/10/2018,6/11/2018,7/7/2018,7/8/2018,USD,Anthony Torres,Ohio ,South Bend,West,Indiana,IN,Blankets,7,"0,3","3430,4","1989,632"
SO - 000192,Distributor,WARE-NMK1003,4/10/2018,6/11/2018,6/28/2018,7/6/2018,USD,Joe Price,Burt's Corp,Peoria,Northeast,Illinois,IL,Festive,7,"0,075","1152,4","622,296"
SO - 000193,Distributor,WARE-NMK1003,4/10/2018,6/11/2018,6/21/2018,6/24/2018,USD,Samuel Fowler,Prasco Group,Palm Bay,Midwest,Florida,FL,Platters,4,"0,1","1085,4","922,59"
SO - 000194,In-Store,WARE-NMK1003,12/31/2017,6/12/2018,6/16/2018,6/22/2018,USD,Stephen Payne,Apollo Ltd,Des Moines,South,Iowa,IA,Outdoor Furniture,5,"0,1","5031,7","4025,36"
SO - 000195,Distributor,WARE-NMK1003,4/10/2018,6/12/2018,6/28/2018,7/3/2018,USD,Roy Rice,Pure Group,Lakewood,Midwest,Colorado,CO,Outdoor Decor,7,"0,15","1092,1","436,84"
SO - 000196,Wholesale,WARE-XYS1001,12/31/2017,6/12/2018,6/25/2018,6/27/2018,USD,Shawn Torres,Procter Corp,Carlsbad,Northeast,California,CA,Furniture Cushions,7,"0,05","187,6","144,452"
SO - 000197,Online,WARE-NMK1003,12/31/2017,6/12/2018,7/9/2018,7/16/2018,USD,Shawn Wallace,S.S.S. Group,Arvada,South,Colorado,CO,Cookware,4,"0,05","3993,2","2835,172"
SO - 000198,Online,WARE-MKL1006,12/31/2017,6/12/2018,6/15/2018,6/18/2018,USD,Paul Holmes,Ei ,Renton,Midwest,Washington,WA,Outdoor Furniture,5,"0,05","2472,3","1433,934"
SO - 000199,In-Store,WARE-XYS1001,4/10/2018,6/12/2018,7/5/2018,7/14/2018,USD,Chris Armstrong,Niconovum Corp,Clovis,Northeast,California,CA,Audio,4,"0,05",1206,"844,2"
SO - 000200,Online,WARE-NMK1003,12/31/2017,6/12/2018,6/22/2018,6/29/2018,USD,Anthony Torres,Procter Corp,Sandy Springs,West,Georgia,GA,Rugs,5,"0,05","1728,6","985,302"
SO - 000201,Wholesale,WARE-NMK1003,12/31/2017,6/12/2018,6/20/2018,6/29/2018,USD,Carlos Miller,E. Ltd,Spring Hill,West,Florida,FL,Accessories,7,"0,075","1983,2","1447,736"
SO - 000202,Online,WARE-NMK1003,4/10/2018,6/12/2018,7/10/2018,7/14/2018,USD,Anthony Torres,Linde ,York,West,Illinois,IL,Ornaments,2,"0,2","5313,1","2656,55"
SO - 000203,Distributor,WARE-XYS1001,4/10/2018,6/12/2018,6/17/2018,6/25/2018,USD,Anthony Torres,Winthrop ,Palmdale,West,California,CA,Accessories,5,"0,075",871,"566,15"
SO - 000204,Online,WARE-NMK1003,12/31/2017,6/13/2018,6/27/2018,7/1/2018,USD,Carl Nguyen,Ascend Ltd,Schaumburg (Township),Midwest,Illinois,IL,Festive,2,"0,1","2532,6","2051,406"
SO - 000205,Online,WARE-NMK1003,4/10/2018,6/13/2018,6/25/2018,6/26/2018,USD,Paul Holmes,Linde ,Denver,Midwest,Colorado,CO,Cookware,4,"0,075","5916,1","4673,719"
SO - 000206,Online,WARE-UHY1004,12/31/2017,6/13/2018,6/23/2018,7/1/2018,USD,Todd Roberts,OUR Ltd,Durham,West,North Carolina,NC,Candleholders,1,"0,075","2887,7","1443,85"
SO - 000207,In-Store,WARE-NMK1003,12/31/2017,6/13/2018,6/20/2018,6/22/2018,USD,Adam Hernandez,Ole Group,Lexington-Fayette,Northeast,Kentucky,KY,Ornaments,7,"0,1","1855,9","1447,602"
SO - 000208,In-Store,WARE-XYS1001,4/10/2018,6/13/2018,6/17/2018,6/19/2018,USD,Keith Griffin,Procter Corp,Palmdale,Northeast,California,CA,Floor Lamps,5,"0,1","207,7","135,005"
SO - 000209,In-Store,WARE-MKL1006,12/31/2017,6/13/2018,6/29/2018,7/6/2018,USD,Keith Griffin,WakeFern ,Provo,Northeast,Utah,UT,Table Lamps,3,"0,05","1058,6","772,778"
SO - 000210,Online,WARE-UHY1004,4/10/2018,6/13/2018,7/3/2018,7/13/2018,USD,Todd Roberts,Pure Group,Manchester,West,New Hampshire,NH,Bar Tools,7,"0,1","958,1","517,374"
SO - 000211,In-Store,WARE-NMK1003,4/10/2018,6/13/2018,7/8/2018,7/18/2018,USD,Joshua Bennett,Select ,Lawrence (Township),Northeast,Indiana,IN,Wreaths,7,"0,2","2659,9","1675,737"
SO - 000212,In-Store,WARE-NMK1003,12/31/2017,6/13/2018,7/5/2018,7/13/2018,USD,Shawn Cook,Rochester Ltd,Sandy Springs,Midwest,Georgia,GA,Cocktail Glasses,3,"0,1","2217,7","1707,629"
SO - 000213,Online,WARE-XYS1001,12/31/2017,6/14/2018,6/17/2018,6/20/2018,USD,Anthony Torres,Medline ,Glendale,West,California,CA,Ornaments,1,"0,3","1715,2","857,6"
SO - 000214,In-Store,WARE-PUJ1005,4/10/2018,6/14/2018,7/6/2018,7/9/2018,USD,Joshua Bennett,Prasco Group,Eugene,Northeast,Oregon,OR,Vases,7,"0,15","3932,9","1691,147"
SO - 000215,In-Store,WARE-NMK1003,12/31/2017,6/14/2018,6/19/2018,6/20/2018,USD,Keith Griffin,Ole Group,Palatine (Township),Northeast,Illinois,IL,Rugs,2,"0,05",2546,"1909,5"
SO - 000216,Online,WARE-PUJ1005,12/31/2017,6/14/2018,6/26/2018,7/1/2018,USD,Roger Alexander,Eminence Corp,Yonkers,Midwest,New York,NY,Floral,1,"0,075","837,5",603
SO - 000217,Online,WARE-UHY1004,4/10/2018,6/14/2018,6/26/2018,7/5/2018,USD,Anthony Berry,"Elorac, Corp",Minneapolis,West,Minnesota,MN,Dining Furniture,3,"0,15",1809,"1302,48"
SO - 000218,Wholesale,WARE-PUJ1005,4/10/2018,6/14/2018,6/29/2018,7/3/2018,USD,Donald Reynolds,Prasco Group,Nashville,South,Tennessee,TN,Ornaments,8,"0,075","857,6","514,56"
SO - 000219,In-Store,WARE-XYS1001,12/31/2017,6/14/2018,6/30/2018,7/7/2018,USD,George Lewis,Apollo Ltd,Gilbert,West,Arizona,AZ,Wine Storage,6,"0,05","1748,7","1101,681"
SO - 000220,Wholesale,WARE-NBV1002,12/31/2017,6/14/2018,6/16/2018,6/17/2018,USD,Carlos Miller,Winthrop ,Santa Rosa,West,California,CA,Serveware,1,"0,075","1266,3","582,498"
SO - 000221,In-Store,WARE-XYS1001,12/31/2017,6/14/2018,6/16/2018,6/22/2018,USD,Jerry Green,S.S.S. Group,Downey,West,California,CA,Baseball,5,"0,1","5058,5","3591,535"
SO - 000222,Distributor,WARE-XYS1001,4/10/2018,6/14/2018,6/28/2018,7/6/2018,USD,Joe Price,Ascend Ltd,Garden Grove,Northeast,California,CA,Computers,7,"0,05","958,1","795,223"
SO - 000223,Online,WARE-NMK1003,12/31/2017,6/14/2018,7/10/2018,7/14/2018,USD,Nicholas Cunningham,Niconovum Corp,Hollywood,South,Florida,FL,Photo Frames,8,"0,15","1802,3","756,966"
SO - 000224,In-Store,WARE-XYS1001,4/10/2018,6/15/2018,7/7/2018,7/16/2018,USD,Chris Armstrong,Pure Group,Los Angeles,Northeast,California,CA,Vases,4,"0,075",6298,"4534,56"
SO - 000225,Online,WARE-XYS1001,12/31/2017,6/15/2018,7/2/2018,7/6/2018,USD,Shawn Wallace,Dharma Ltd,Birmingham,South,Alabama,AL,Wall Coverings,1,"0,1","2499,1","1824,343"
SO - 000226,In-Store,WARE-NMK1003,4/10/2018,6/15/2018,6/19/2018,6/23/2018,USD,George Lewis,Procter Corp,Wichita,West,Kansas,KS,Accessories,3,"0,1",871,"705,51"
